Table,ID,Null Values,type,,,,
S0802,S0802_C01_101M,6916,float,,,,
S0802,S0802_C02_098E,6916,int,,,,
S0802,S0802_C02_098M,6916,int,,,,
S0802,S0802_C02_099E,6916,int,,,,
S0802,S0802_C02_099M,6916,int,,,,
S0802,S0802_C02_100E,6916,int,,,,
S0802,S0802_C02_100M,6916,int,,,,
S0802,S0802_C02_101E,6916,int,,,,
S0802,S0802_C02_101M,6916,int,,,,
S0802,S0802_C03_098E,6916,int,,,,
S0802,S0802_C03_098M,6916,int,,,,
S0802,S0802_C03_099E,6916,int,,,,
S0802,S0802_C03_099M,6916,int,,,,
S0802,S0802_C03_100E,6916,int,,,,
S0802,S0802_C03_100M,6916,int,,,,
S0802,S0802_C03_101E,6916,int,,,,
S0802,S0802_C03_101M,6916,int,,,,
S0802,S0802_C04_098E,6916,int,,,,
S0802,S0802_C04_098M,6916,int,,,,
S0802,S0802_C04_099E,6916,int,,,,
S0802,S0802_C04_099M,6916,int,,,,
S0802,S0802_C04_100E,6916,int,,,,
S0802,S0802_C04_100M,6916,int,,,,
S0802,S0802_C04_101E,6916,int,,,,
S0802,S0802_C04_101M,6916,int,,,,
S1002,S1002_C01_031M,6916,float,,,,
S1002,S1002_C01_032M,6916,float,,,,
S1002,S1002_C02_029E,6916,int,,,,
S1002,S1002_C02_029M,6916,int,,,,
S1002,S1002_C02_030E,6916,int,,,,
S1002,S1002_C02_030M,6916,int,,,,
S1002,S1002_C02_031E,6916,int,,,,
S1002,S1002_C02_031M,6916,int,,,,
S1002,S1002_C02_032E,6916,int,,,,
S1002,S1002_C02_032M,6916,int,,,,
S1002,S1002_C03_029E,6916,int,,,,
S1002,S1002_C03_029M,6916,int,,,,
S1002,S1002_C03_030E,6916,int,,,,
S1002,S1002_C03_030M,6916,int,,,,
S1002,S1002_C03_031E,6916,int,,,,
S1002,S1002_C03_031M,6916,int,,,,
S1002,S1002_C03_032E,6916,int,,,,
S1002,S1002_C03_032M,6916,int,,,,
S1002,S1002_C04_029E,6916,int,,,,
S1002,S1002_C04_029M,6916,int,,,,
S1002,S1002_C04_030E,6916,int,,,,
S1002,S1002_C04_030M,6916,int,,,,
S1002,S1002_C04_031E,6916,int,,,,
S1002,S1002_C04_031M,6916,int,,,,
S1002,S1002_C04_032E,6916,int,,,,
S1002,S1002_C04_032M,6916,int,,,,
S1101,S1101_C05_003E,6916,int,,,,
S1101,S1101_C05_003M,6916,int,,,,
S1101,S1101_C05_004E,6916,int,,,,
S1101,S1101_C05_004M,6916,int,,,,
S1101,S1101_C05_005E,6916,int,,,,
S1101,S1101_C05_005M,6916,int,,,,
S1201,S1201_C01_031M,6916,float,,,,
S1201,S1201_C02_031E,6916,int,,,,
S1201,S1201_C02_031M,6916,int,,,,
S1201,S1201_C03_031E,6916,int,,,,
S1201,S1201_C03_031M,6916,int,,,,
S1201,S1201_C04_031E,6916,int,,,,
S1201,S1201_C04_031M,6916,int,,,,
S1201,S1201_C05_031E,6916,int,,,,
S1201,S1201_C05_031M,6916,int,,,,
S1201,S1201_C06_031E,6916,int,,,,
S1201,S1201_C06_031M,6916,int,,,,
S1301,S1301_C01_031M,6916,float,,,,
S1301,S1301_C01_032M,6916,float,,,,
S1301,S1301_C02_031E,6916,int,,,,
S1301,S1301_C02_031M,6916,int,,,,
S1301,S1301_C02_032E,6916,int,,,,
S1301,S1301_C02_032M,6916,int,,,,
S1301,S1301_C03_031E,6916,int,,,,
S1301,S1301_C03_031M,6916,int,,,,
S1301,S1301_C03_032E,6916,int,,,,
S1301,S1301_C03_032M,6916,int,,,,
S1301,S1301_C04_031E,6916,int,,,,
S1301,S1301_C04_031M,6916,int,,,,
S1301,S1301_C04_032E,6916,int,,,,
S1301,S1301_C04_032M,6916,int,,,,
S1301,S1301_C05_031E,6916,int,,,,
S1301,S1301_C05_031M,6916,int,,,,
S1301,S1301_C05_032E,6916,int,,,,
S1301,S1301_C05_032M,6916,int,,,,
S1401,S1401_C03_001E,6916,int,,,,
S1401,S1401_C03_001M,6916,int,,,,
S1401,S1401_C03_013E,6916,int,,,,
S1401,S1401_C03_013M,6916,int,,,,
S1401,S1401_C03_015E,6916,int,,,,
S1401,S1401_C03_015M,6916,int,,,,
S1401,S1401_C03_017E,6916,int,,,,
S1401,S1401_C03_017M,6916,int,,,,
